ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘
2026072601010205,1,07252134,10,        161,   0.0,   1.1,   0.0, 128.8, 128.8,   0.0,  25.7,   0.0,  11.7, 128.8
2026072601010205,1,07252143,10,        386,  25.7,   1.4,   9.6,   9.3,  22.0,  44.1,  22.0, 102.9,   7.1,  38.6
2026072601010205,1,07252151,10,        888,  50.7,   2.2,  10.6,   4.4,  12.6,  32.2,  25.3,  78.9,   3.5,  32.2
2026072601010205,1,07252159,10,       1594,  67.1,   2.0,   7.5,   6.7,  20.5,  15.3,  36.4, 141.6,   3.6,  18.4
2026072601010205,1,07252207,10,       2275,  82.7,   1.8,  10.0,   7.1,  26.3,  17.8,  45.5, 165.4,   3.3,  19.5
2026072601010205,1,07252216,10,       3073,  27.9,   1.6,  10.6,   8.0,  27.0,  18.9,  48.2, 129.3,   4.3,  24.5
2026072601010205,1,07252224,10,       3474,  27.2,   1.7,  10.1,   7.7,  24.3,  17.1,  52.4, 132.3,   4.1,  26.4
2026072601010205,1,07252232,10,       3753,  28.8,   1.7,  10.4,   7.1,  24.6,  17.7,  52.6,  54.5,   3.9,  27.5
2026072601010205,1,07252240,10,       4059,  29.7,   1.8,   9.9,   6.9,  21.2,  13.9,  54.1,  53.2,   4.1,  24.2
2026072601010205,1,07252249,10,       4302,  30.7,   1.9,  10.3,   5.7,  20.7,  14.1,  52.9,  55.5,   4.3,  25.1
2026072601010205,1,07252257,10,       4611,  32.0,   1.9,  10.3,   5.6,  18.3,  13.5,  44.9,  53.4,   4.2,  23.9
2026072601010205,1,07252305,10,       4876,  30.7,   2.0,  10.4,   5.8,  16.4,  12.9,  28.0,  48.7,   4.4,  22.1
2026072601010205,1,07252313,10,       5412,  33.0,   2.0,  11.3,   6.1,  16.7,   9.0,  29.8,  50.9,   4.5,  21.7
2026072601010205,1,07252322,10,       5793,  34.5,   2.0,  11.4,   6.3,  17.6,   9.2,  31.7,  53.8,   4.2,  22.9
2026072601010205,1,07252330,10,       6263,  36.0,   1.9,  11.7,   6.4,  18.6,   9.8,  33.1,  56.9,   4.2,  23.9
2026072601010205,1,07252338,10,       6433,  36.7,   1.9,  11.8,   6.4,  18.8,   9.1,  33.8,  57.1,   4.3,  24.1
2026072601010205,1,07252346,10,       6825,  37.1,   2.0,  11.8,   6.8,  19.5,   9.5,  35.0,  60.0,   3.9,  24.2
2026072601010205,1,07252355,10,       7530,  38.8,   1.9,  12.9,   7.2,  21.2,  10.4,  37.1,  65.4,   3.5,  25.8
2026072601010205,1,07252359,10,       7665,  39.0,   2.0,  12.4,   7.2,  20.7,   9.9,  37.6,  66.6,   3.5,  26.0
