ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘
2026071810020708,1,07171839,10,         31,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0
2026071810020708,1,07171848,10,         54,  43.2,  43.2,   7.2,  43.2,   0.0,  43.2,  21.6,   0.0,  43.2,   1.1
2026071810020708,1,07171856,10,         69,  55.2,  27.6,   6.9,  55.2,  13.8,  55.2,  13.8,  18.4,  13.8,   1.3
2026071810020708,1,07171904,10,         82,  65.6,  32.8,   8.2,  32.8,  16.4,  65.6,   8.2,  21.8,   6.5,   1.5
2026071810020708,1,07171912,10,        159, 127.2,  25.4,  15.9,  63.6,  25.4, 127.2,  15.9,  42.4,   9.7,   1.1
2026071810020708,1,07171921,10,        269, 107.6,  43.0,   5.6,  71.7,   8.2,  71.7,  23.9,  53.8,   9.3,   1.3
2026071810020708,1,07171929,10,        287,  76.5,  45.9,   5.7,  32.8,   8.8,  76.5,  22.9,  32.8,   8.2,   1.4
2026071810020708,1,07171937,10,        334,  44.5,  53.4,   6.0,  26.7,   9.5,  44.5,  15.7,  38.1,   5.0,   1.6
2026071810020708,1,07171945,10,        378,  25.2,  33.6,   6.7,  25.2,  10.4,  33.6,   9.4,  43.2,   5.0,   1.8
2026071810020708,1,07171954,10,        438,  23.3,  29.2,   6.8,  10.3,  11.3,  23.3,   7.9,  43.8,   5.4,   2.1
2026071810020708,1,07172002,10,        523,  15.4,  34.8,   7.8,   8.3,  12.6,   8.0,   9.5,  41.8,   5.3,   2.5
2026071810020708,1,07172010,10,        807,  18.9,  49.6,   8.1,  12.1,  15.3,  12.1,  14.6,  64.5,   6.2,   1.7
2026071810020708,1,07172018,10,        908,  15.4,  42.7,   9.0,  13.7,   6.2,  13.4,  16.5,  72.6,   6.6,   1.9
2026071810020708,1,07172027,10,        946,  14.8,  42.0,   8.5,  13.2,   6.3,  12.6,  16.8,  75.6,   6.5,   1.9
2026071810020708,1,07172035,10,        996,  15.6,  22.1,   8.6,  13.5,   6.5,  13.0,  16.6,  61.2,   6.5,   2.0
2026071810020708,1,07172043,10,       1062,  15.1,  21.7,   9.0,  12.6,   6.6,  11.6,  15.4,  53.1,   6.4,   2.1
2026071810020708,1,07172051,10,       1159,  15.9,  23.1,   9.6,  13.2,   4.8,  12.2,  16.2,  54.5,   6.5,   2.2
2026071810020708,1,07172100,10,       1304,  14.0,  25.4,  10.4,  12.5,   4.5,  11.8,  17.9,  54.9,   6.8,   2.2
