ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘
2026070402010705,1,07031843,5,          5,   0.0,   4.0,   4.0,   4.0,   2.0
2026070402010705,1,07031851,5,         15,   6.0,   6.0,   3.0,   3.0,   4.0
2026070402010705,1,07031859,5,         16,   6.4,   6.4,   2.5,   3.2,   4.2
2026070402010705,1,07031907,5,         57,   2.8,   7.6,   4.5,   3.2,   4.1
2026070402010705,1,07031916,5,         71,   3.3,   8.1,   3.1,   3.5,   4.3
2026070402010705,1,07031924,5,         89,   3.0,   7.9,   3.7,   3.3,   4.1
2026070402010705,1,07031932,5,        106,   3.5,   9.4,   2.9,   3.8,   3.8
2026070402010705,1,07031940,5,        135,   4.3,  12.0,   3.3,   3.4,   2.8
2026070402010705,1,07031949,5,        163,   4.8,  11.8,   2.5,   3.8,   3.2
2026070402010705,1,07031957,5,        318,   7.7,   2.2,   3.6,   6.2,   4.1
2026070402010705,1,07032005,5,        353,   5.3,   2.3,   3.8,   6.5,   4.4
2026070402010705,1,07032013,5,        489,   6.0,   3.2,   2.7,   4.3,   5.4
2026070402010705,1,07032022,5,        527,   6.3,   3.4,   2.6,   4.2,   5.4
2026070402010705,1,07032030,5,        910,  10.8,   5.9,   1.4,   5.7,   7.3
2026070402010705,1,07032038,5,        966,  10.4,   5.8,   1.5,   5.4,   6.8
2026070402010705,1,07032046,5,       1048,  10.1,   6.2,   1.5,   5.4,   6.6
2026070402010705,1,07032055,5,       1070,   9.9,   6.2,   1.5,   5.1,   6.5
2026070402010705,1,07032103,5,       1149,  10.2,   6.6,   1.5,   4.4,   6.8
2026070402010705,1,07032111,5,       1161,  10.2,   6.6,   1.5,   4.4,   6.7
2026070402010705,1,07032119,5,       1212,   9.6,   6.8,   1.6,   4.0,   6.8
2026070402010705,1,07032128,5,       1241,   8.8,   6.9,   1.6,   4.1,   6.6
2026070402010705,1,07032136,5,       1306,   8.8,   6.9,   1.7,   4.0,   6.4
2026070402010705,1,07032144,5,       1360,   7.7,   7.2,   1.7,   4.1,   6.0
2026070402010705,1,07032152,5,       1415,   8.0,   7.3,   1.7,   4.0,   6.2
2026070402010705,1,07032201,5,       1480,   7.6,   7.4,   1.7,   4.0,   5.8
2026070402010705,1,07032209,5,       1652,   7.4,   7.7,   1.8,   3.6,   5.7
2026070402010705,1,07032217,5,       1696,   7.2,   7.9,   1.8,   3.6,   5.4
2026070402010705,1,07032225,5,       1761,   7.0,   8.1,   1.9,   3.5,   5.2
2026070402010705,1,07032234,5,       1836,   7.2,   8.3,   1.8,   3.6,   5.3
2026070402010705,1,07032242,5,       1942,   6.9,   8.6,   1.9,   3.6,   4.6
2026070402010705,1,07032250,5,       1993,   6.8,   8.8,   1.9,   3.6,   4.6
2026070402010705,1,07032258,5,       2192,   6.9,   9.3,   2.0,   3.7,   4.2
2026070402010705,1,07032307,5,       2233,   7.0,   9.4,   2.0,   3.6,   4.2
2026070402010705,1,07032315,5,       2351,   7.1,   9.4,   2.0,   3.6,   4.0
2026070402010705,1,07032323,5,       2420,   7.2,   9.7,   2.0,   3.7,   4.1
2026070402010705,1,07032331,5,       2545,   7.5,  10.0,   2.0,   3.7,   3.8
2026070402010705,1,07032340,5,       2642,   7.7,  10.1,   1.9,   3.8,   3.8
2026070402010705,1,07032348,5,       2689,   7.8,  10.0,   1.9,   3.8,   3.8
2026070402010705,1,07032356,5,       2722,   7.6,  10.1,   1.9,   3.8,   3.8
2026070402010705,1,07040008,5,       2754,   7.7,  10.1,   1.9,   3.8,   3.8
2026070402010705,1,07040017,5,       2843,   7.7,  10.4,   2.0,   3.8,   3.7
2026070402010705,1,07040025,5,       2903,   7.7,  10.6,   2.0,   3.8,   3.6
2026070402010705,1,07040033,5,       3028,   7.6,  10.9,   1.9,   3.9,   3.6
2026070402010705,1,07040041,5,       3070,   7.3,  11.0,   1.9,   3.9,   3.7
2026070402010705,1,07040050,5,       3146,   7.2,  11.1,   2.0,   3.9,   3.6
2026070402010705,1,07040058,5,       3173,   7.2,  11.2,   1.9,   3.9,   3.7
2026070402010705,1,07040106,5,       3238,   7.3,  11.3,   1.9,   4.0,   3.6
2026070402010705,1,07040114,5,       3294,   7.4,  11.4,   1.9,   3.9,   3.6
2026070402010705,1,07040123,5,       3332,   7.4,  11.3,   1.9,   3.9,   3.6
2026070402010705,1,07040131,5,       3348,   7.3,  11.3,   1.9,   3.9,   3.6
2026070402010705,1,07040139,5,       3390,   7.2,  11.0,   1.9,   4.0,   3.7
2026070402010705,1,07040147,5,       3398,   7.2,  11.0,   1.9,   4.0,   3.7
2026070402010705,1,07040156,5,       3539,   7.4,  11.3,   1.9,   4.0,   3.7
2026070402010705,1,07040204,5,       3704,   7.8,  11.8,   1.8,   4.2,   3.9
2026070402010705,1,07040212,5,       3734,   7.8,  11.9,   1.8,   4.2,   3.8
2026070402010705,1,07040220,5,       3743,   7.8,  11.9,   1.8,   4.2,   3.9
2026070402010705,1,07040229,5,       3776,   7.9,  11.9,   1.8,   4.2,   3.8
2026070402010705,1,07040237,5,       3784,   7.9,  11.9,   1.8,   4.2,   3.8
2026070402010705,1,07040245,5,       3820,   7.9,  12.0,   1.8,   4.2,   3.7
2026070402010705,1,07040253,5,       3836,   7.9,  12.0,   1.8,   4.3,   3.7
2026070402010705,1,07040302,5,       3868,   8.0,  12.1,   1.8,   4.3,   3.7
2026070402010705,1,07040310,5,       3886,   8.0,  12.0,   1.8,   4.3,   3.7
2026070402010705,1,07040318,5,       3913,   8.0,  12.1,   1.8,   4.3,   3.7
2026070402010705,1,07040326,5,       3915,   8.0,  12.1,   1.8,   4.3,   3.7
2026070402010705,1,07040335,5,       3936,   8.0,  12.1,   1.8,   4.3,   3.7
2026070402010705,1,07040343,5,       3955,   8.0,  12.1,   1.8,   4.2,   3.7
2026070402010705,1,07040351,5,       3979,   8.1,  12.2,   1.8,   4.2,   3.7
2026070402010705,1,07040359,5,       3989,   8.1,  12.2,   1.8,   4.2,   3.7
2026070402010705,1,07040408,5,       3998,   8.1,  12.2,   1.8,   4.2,   3.7
2026070402010705,1,07040416,5,       4003,   8.1,  12.2,   1.8,   4.2,   3.7
