ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘
2026071102010912,1,07101841,8,          2,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071102010912,1,07101849,8,          8,   1.6,   6.4,   0.0,   6.4,   0.0,   6.4,   6.4,   0.0
2026071102010912,1,07101858,8,         30,   4.0,  24.0,  12.0,   3.0,   4.8,  12.0,   4.0,   0.0
2026071102010912,1,07101906,8,         66,   7.5,   2.5,  26.4,   5.8,  10.5,   4.0,   6.6,  52.8
2026071102010912,1,07101914,8,         68,   7.7,   2.5,  27.2,   6.0,  10.8,   3.8,   6.8,  27.2
2026071102010912,1,07101922,8,         89,   5.9,   2.9,  35.6,   7.9,  11.8,   4.7,   3.9,  23.7
2026071102010912,1,07101931,8,        112,   3.7,   3.5,  29.8,   6.8,   9.9,   5.6,   4.7,  29.8
2026071102010912,1,07101939,8,        150,   4.4,   4.4,  17.1,   5.0,   6.0,   7.5,   5.0,  24.0
2026071102010912,1,07101947,8,        170,   4.1,   5.0,  17.0,   5.6,   5.0,   8.5,   4.5,  27.2
2026071102010912,1,07101955,8,        615,   1.1,  16.9,  24.6,  18.9,  15.8,  27.3,  14.9,  44.7
2026071102010912,1,07102004,8,        709,   1.1,  18.9,  28.3,  21.0,   9.2,  28.3,  16.6,  47.2
2026071102010912,1,07102012,8,        851,   1.1,  21.9,  27.2,  20.6,   8.6,  27.2,  20.0,  52.3
2026071102010912,1,07102020,8,        926,   1.1,  23.1,  28.4,  21.1,   8.9,  27.4,  20.0,  52.9
2026071102010912,1,07102028,8,       1158,   1.3,  27.2,  34.3,   3.9,  11.1,  28.0,  19.3,  57.9
2026071102010912,1,07102037,8,       1182,   1.3,  27.8,  32.6,   3.9,  11.3,  28.6,  17.8,  59.1
2026071102010912,1,07102045,8,       1221,   1.3,  22.7,  32.5,   4.0,  11.4,  28.7,  17.4,  51.4
2026071102010912,1,07102053,8,       1294,   1.4,  13.1,  27.9,   4.2,  12.0,  30.4,  15.4,  41.4
2026071102010912,1,07102101,8,       1369,   1.4,  13.5,  28.0,   4.4,  11.9,  31.2,  16.1,  42.1
2026071102010912,1,07102110,8,       1465,   1.4,  13.6,  29.3,   3.5,  12.3,  31.6,  17.2,  45.0
2026071102010912,1,07102118,8,       1539,   1.5,  13.5,  20.5,   3.6,  11.9,  22.8,  17.1,  39.7
2026071102010912,1,07102126,8,       1871,   1.8,  16.2,  21.0,   2.3,  14.1,  27.7,  20.5,  46.7
2026071102010912,1,07102134,8,       2089,   2.0,  15.7,  20.8,   2.1,  12.3,  29.3,  21.4,  38.8
2026071102010912,1,07102143,8,       2166,   2.0,  16.3,  21.6,   2.1,  12.8,  30.4,  21.6,  38.5
2026071102010912,1,07102151,8,       2253,   2.1,  16.0,  20.9,   2.2,   9.6,  31.6,  19.5,  34.0
2026071102010912,1,07102159,8,       2565,   2.3,  16.6,  20.7,   1.9,  11.0,  36.0,  21.1,  23.3
2026071102010912,1,07102207,8,       2618,   2.3,  16.6,  20.5,   2.0,  10.9,  35.4,  20.9,  23.0
