ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘
2026071203020604,1,07111933,10,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071203020604,1,07111942,10,         50,   1.4,  20.0,  40.0,   0.0,   5.7,  20.0,  20.0,   6.6,  20.0,  40.0
2026071203020604,1,07111950,10,        129,   3.6,   2.2, 103.2,  12.9,   9.3,  14.7,  25.8,  14.7,  14.7,   9.3
2026071203020604,1,07111958,10,        182,   5.0,   3.2,  72.8,  14.5,   6.0,  12.1,  20.8,  11.2,   8.0,   6.6
2026071203020604,1,07112006,10,        309,   6.8,   3.6,  82.4,  11.7,   3.1,  16.4,  22.4,   7.7,  11.7,  10.3
2026071203020604,1,07112015,10,        416,   8.9,   3.3,  66.5,  12.3,   3.7,   8.7,  10.4,   9.2,  13.3,  11.0
2026071203020604,1,07112023,10,        481,   8.9,   3.5,  64.1,  12.0,   3.8,   9.6,   9.8,   7.2,  14.8,  11.6
2026071203020604,1,07112031,10,        526,   9.3,   3.5,  60.1,  12.3,   3.7,   8.9,  10.7,   7.2,  15.5,  11.3
2026071203020604,1,07112039,10,        711,  11.1,   4.3,  56.8,  14.9,   3.1,   6.7,  12.6,   7.5,  12.6,  11.8
2026071203020604,1,07112048,10,        836,  10.2,   4.3,  44.5,  13.9,   3.1,   7.1,  11.7,   8.5,  13.6,  10.6
2026071203020604,1,07112056,10,        934,  11.3,   4.4,  49.8,  14.0,   2.9,   7.8,  11.4,   7.1,  14.0,  11.4
2026071203020604,1,07112104,10,       1010,  11.0,   4.3,  53.8,  14.6,   3.0,   7.6,  11.8,   7.0,  14.4,  11.5
2026071203020604,1,07112112,10,       1144,  11.5,   4.5,  50.8,  16.0,   3.1,   5.7,  11.8,   7.0,  14.3,  12.5
2026071203020604,1,07112121,10,       1211,  12.2,   4.4,  50.9,  15.3,   3.2,   5.9,  11.2,   7.1,  13.6,  11.9
