ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘
2026071802011103,1,07171842,12,          9,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.2,   2.4,   0.0
2026071802011103,1,07171850,12,         28,  22.4,  22.4,  22.4,  11.2,  11.2,  22.4,   0.0,   2.0,   0.0,   3.7,   7.4,   0.0
2026071802011103,1,07171858,12,         45,   5.1,  36.0,  36.0,  12.0,   9.0,  36.0,   7.2,   3.0,  36.0,   6.0,   9.0,   0.0
2026071802011103,1,07171907,12,         71,   8.1,  56.8,  56.8,   4.0,   6.3,  56.8,  11.3,   3.7,  28.4,   6.3,  11.3,  28.4
2026071802011103,1,07171915,12,        136,  13.6,  36.2, 108.8,   6.8,   9.0,  54.4,  18.1,   2.3,  54.4,   9.0,   4.5,  36.2
2026071802011103,1,07171923,12,        155,   7.7,  20.6, 124.0,   6.8,  10.3,  41.3,  17.7,   2.4,  62.0,   9.5,   5.1,  41.3
2026071802011103,1,07171931,12,        173,   8.6,  23.0, 138.4,   6.9,   9.8,  46.1,  19.7,   2.7,  46.1,   5.3,   5.7,  46.1
2026071802011103,1,07171940,12,        244,   9.7,  17.7,  97.6,   4.7,   9.7,  27.8,  24.4,   3.8,  65.0,   4.8,   5.4,  39.0
2026071802011103,1,07171948,12,        318,  10.6,  15.9,  36.3,   5.6,  10.6,  28.2,  11.5,   4.6,  50.8,   3.7,   6.6,  50.8
2026071802011103,1,07171956,12,        386,  11.8,  14.0,  38.6,   5.7,   8.8,  22.0,  13.4,   4.8,  61.7,   4.1,   6.7,  20.5
2026071802011103,1,07172004,12,        426,  13.1,  13.1,  22.7,   5.8,   9.7,  21.3,  14.8,   5.0,  42.6,   4.2,   7.4,  13.6
2026071802011103,1,07172013,12,        513,  14.6,  11.7,  20.5,   5.3,  10.8,  20.5,  11.0,   5.9,  25.6,   5.0,   6.5,  14.6
2026071802011103,1,07172021,12,        544,  15.5,  10.1,  21.7,   5.3,  10.1,  18.1,  11.7,   5.9,  27.2,   5.0,   6.8,  15.0
